nickname,teams,player_id,birth_date,country,rating
sLowi,HAVU,9271,1997-07-02,FIN,1.02
FREDDyFROG,"Chaos, Red Reserve, Apeks, Japaleno, Galaxy Racer",9277,1994-04-08,SWE,1.11
REZ,"NIP, Epsilon",9278,1999-10-21,SWE,1.03
Relaxa,"Chaos, Red Reserve, Japaleno, Apeks, Galaxy Racer",9279,1994-06-07,SWE,1.03
TOR,"Signature, Beyond",9288,1994-09-13,THA,1.06
qqGOD,"Signature, Beyond, Lucid Dream",9289,1999-01-21,THA,1.02
krii,"Wolsung, EPG",9291,1999-12-15,LVA,0.99
NaToSaphiX,"Sprout, Nordavind",9294,1998-10-22,DNK,1.07
sycrone,"Sprout, North Academy, Tricked, Team123",9295,1997-09-26,DNK,0.9
truth,"Apeks, ATK, Vexed",9298,1998-01-14,NOR,1.0
AnJ,"NRG, Singularity, Tricked",9317,1996-04-20,DNK,1.06
arvid,SJ,9325,1998-12-23,FIN,0.95
ImpressioN,"BOOT-d[S], BTRG, NKT, dream[S]cape",9339,1997-07-19,SGP,1.0
crush,"pro100, Vega Squadron, HellRaisers",9348,1997-01-10,UKR,0.9
AiyvaN,"pro100, spray'n'pray",9349,1997-05-11,UKR,1.03
def,"pro100, ACG",9350,1996-03-13,UKR,0.86
paz,"Space Soldiers, Sangal",9353,1998-01-03,TUR,1.07
DEV7L,eXtatus,9358,1998-09-13,CZE,1.03
kalinka,"HellRaisers, Playing Ducks",9410,1995-04-01,LTU,1.01
obj,"OFFSET, eXploit, Giants, AlienTech",9416,1997-06-09,PRT,1.01
tifa,"Imperial, BigGods, Keyd",9480,1997-10-05,BRA,0.98
NEKIZ,"paiN, Luminosity",9482,1997-08-20,BRA,0.98
DeStiNy,"Luminosity, Paquetá, INTZ, Wild",9483,1998-03-13,BRA,1.02
dobu,"5POWER, TIGER, TheMongolz",9521,2000-04-23,MNG,1.03
xms,"Envy, Heretics, LDLC",9545,1998-06-15,FRA,0.96
snatchie,"AGO, Virtus.pro, Sprout",9574,1999-12-22,POL,1.06
Bubzkji,"Tricked, Fragsters, MAD Lions, Astralis",9612,1999-08-15,DNK,1.04
AMANEK,"LDLC, G2, Misfits",9616,1995-07-17,FRA,1.02
nexa,"G2, Valiance, Imperial",9618,1998-03-26,SRB,1.05
XELLOW,Nexus,9626,2002-04-25,ROU,1.13
BURNRUOk,"Ground Zero, Grayhound, Immunity",9636,1997-06-14,AUS,0.98
hAdji,"LDLC, EnVyUs Academy",9656,1997-04-14,FRA,1.08
CONNOR93,"Ghost, Bee's Money Crew, BlackOut, The Pioneers",9660,1995-01-06,CAN,0.95
NikkeZ,"Ground Zero, Athletico",9676,1996-04-16,AUS,1.06
Noobster,"Ground Zero, Paradox, SYF",9680,1998-05-13,AUS,1.01
Gratisfaction,"Grayhound, Renegades, 100 Thieves, Immunity, EXTREMUM",9686,1997-05-05,NZL,1.05
ncl,"TheMongolz, TIGER, Mazaalai",9736,1996-08-24,MNG,0.91
hampus,"NIP, GamerLegion, Red Reserve, GODSENT",9766,2000-12-19,SWE,1.01
lunAtic,PACT,9798,1994-12-06,POL,0.9
PlesseN,"Galaxy Racer, Chaos, Japaleno, Red Reserve, fnatic Academy",9811,1999-06-04,SWE,1.01
Aleksib,"OG, ENCE, HAVU",9816,1998-11-16,FIN,0.96
uli,KOVA,9818,1999-11-26,FIN,1.0
doto,"HAVU, ENCE",9819,1997-07-18,FIN,0.98
pietola,KOVA,9820,1999-02-06,FIN,0.91
vSa,"Rise Nation, Vision, Ghost",9845,1995-07-08,CAN,0.94
ngiN,"Space Soldiers, Sangal",9857,1994-09-13,TUR,0.94
food,"eUnited, Singularity, Freedom 35",9875,1998-09-03,USA,1.03
Polen,Mythic,9882,1997-02-03,USA,0.89
wrath,"New Identity, Secret Club, BlackOut",9884,2003-02-10,USA,1.12
mertz,"North Academy, Heroic, North, Nordavind, Singularity",9895,2000-07-28,DNK,1.1
b0RUP,"Tricked, Heroic, MAD Lions",9896,2001-03-12,DNK,1.01
notaN,"MASONIC, Singularity, OPAA",9903,2001-04-06,DNK,0.99
kreaz,"Finest, Apeks",9911,1999-09-23,SWE,1.01
mono,"x-kom, Illuminar, Izako Boars",9916,1997-07-03,POL,0.97
frozen,"MOUZ, eXtatus",9960,2003-11-06,SVK,1.12
MonttY,"eXtatus, eSuba",9961,2000-05-20,SVK,1.02
fitch,"AVANGAR, Tengri, Gambit",10052,1993-05-13,KAZ,0.99
HooXi,Copenhagen Flames,10096,1996-12-06,DNK,0.87
BONA,"SJ, VITALIS, hREDS",10114,2001-11-06,FIN,0.91
pecks,Chiefs,10163,1998-01-19,AUS,1.0
bottle,"Born Of Fire, Eclipse, Invictus, 5POWER, CyberZen",10168,1995-08-17,CHN,1.05
ayaya,"Eclipse, Born Of Fire, Flash, AllGamers",10186,2000-12-16,CHN,1.01
DeStRoYeR,"Invictus, EHOME, BOOT",10192,1995-07-19,CHN,0.97
xccurate,"TYLOO, Recca, BTRG, NKT",10263,1999-11-02,IDN,1.09
niko,"Heroic, OpTic, OG",10264,1999-05-09,DNK,1.02
acoR,"Tricked, North Academy, MAD Lions, MOUZ",10330,1998-09-28,DNK,1.06
ecfN,ALTERNATE aTTaX,10367,1997-03-02,DEU,0.95
kaboose,"Selfless, Vision",10372,2001-10-22,USA,0.99
Twistzz,"FaZe, Liquid",10394,2001-03-22,CAN,1.11
cromen,Nordavind,10397,1996-05-05,NOR,1.0
Console,"Tricked, ALTERNATE aTTaX, Copenhagen Flames, Singularity",10404,1997-12-06,DNK,0.95
sXe,"Nexus, XPC",10436,1999-11-19,ROU,0.98
Basso,Copenhagen Flames,10443,2000-12-17,DNK,1.0
ISSAA,"HellRaisers, OG",10449,1998-03-24,JOR,1.05
Baaten,"x6tence Galaxy, Red Reserve, fnatic Academy, Chaos",10463,2000-09-11,SWE,1.0
mitch,"Selfless, Bad News Bears, Dignitas, Riot Squad",10470,1998-09-18,USA,1.01
JonY BoY,"Gale Force, Miami Flamingos, Furious, Isurus",10499,1993-03-27,ARG,1.03
NikoM,"TeamOne, Isurus, DETONA",10504,1998-07-26,ARG,1.06
tutehen,"VELOX, Isurus, Gale Force, Miami Flamingos",10506,1994-03-13,ARG,0.93
nbl,Isurus,10508,1998-08-17,ARG,0.96
land1n,"paiN, Wild, Case, BigGods",10557,1995-09-03,BRA,1.03
yel,"Luminosity, INTZ, MIBR",10560,1993-06-21,BRA,1.02
caike,"g3x, Yeah, Isurus, TeamOne",10563,1996-02-17,BRA,0.95
chelo,"MIBR, INTZ, Luminosity",10566,1999-11-02,BRA,1.06
devoduvek,"LDLC, Misfits, Heretics",10569,1996-07-28,FRA,0.95
dzt,"Imperial, Case, BigGods",10570,1998-10-25,BRA,1.0
InfrequeNt,"Athletico, Tainted Minds, Chiefs",10587,1996-12-16,AUS,1.07
Liazz,"ORDER, Renegades, 100 Thieves, Kings, Athletico, EXTREMUM",10588,1999-05-16,AUS,1.07
rommi,"Spirit Academy, HOLLYWOOD, PLINK, 1337",10589,1994-01-09,RUS,1.05
fenvicious,"Unique, Spirit Academy, EPG",10590,1996-12-26,RUS,1.0
refrezh,"Fragsters, Heroic, Copenhagen Flames, Tricked, OpTic",10610,1999-03-17,DNK,1.08
Fadey,"ATK, Bravado",10611,1999-09-04,ZAF,0.98
RoLEX,"Signature, ZIGMA, Beyond, MiTH",10663,2002-08-04,THA,1.06
Olivia,"Beyond, Alpha Red, Signature",10664,1999-07-07,THA,1.13
MAIROLLS,"Alpha Red, Beyond, NSPR",10666,1999-09-26,THA,1.02
Ethan,"NRG, CLG, Evil Geniuses",10671,2001-09-12,USA,1.14
blocker,"Windigo, FATE, Bpro",10697,1998-12-23,BGR,1.05
kolor,"GameAgents, Budapest Five, EURONICS",10698,2001-12-14,HUN,1.05
Kntz,"NKT, Alpha Red, Beyond, NSPR",10705,1999-01-28,THA,1.07
gas,"Wings Up, LGD, EDG, Aster",10722,1997-01-26,CHN,1.12
NK4Y,"Outlaws, Bpro, ex-Epsilon",10761,1997-03-11,BGR,1.07
Rock1nG,"SKADE, Outlaws, Bpro",10762,1998-07-20,BGR,1.01
cbbk,"Lucid Dream, Beyond",10764,1995-01-02,THA,1.06
Freeman,"ViCi, TYLOO",10774,2000-12-17,HKG,1.16
RuStY,"GamerLegion, Singularity, Red Reserve",10784,1999-03-17,SWE,1.03
iDk,"TeamOne, Paquetá, Yeah",10818,1999-12-26,BRA,1.08
prt,"TeamOne, DETONA",10827,1999-03-06,BRA,1.02
tatazin,"paiN, Wild, Yeah, BigGods",10840,1995-07-06,BRA,1.05
KHTEX,"Paquetá, Wild, Virtue",10842,1998-04-05,BRA,1.08
kabal,"5POWER, TheMongolz, TIGER",10870,1996-03-03,MNG,1.09
MarKE,"Extra Salt, eUnited, Swole Patrol",10892,1999-09-05,MEX,1.12
kiR,Tricked,10938,2001-04-11,DNK,0.98
Kristou,"AGF, North",10961,2003-07-28,DNK,0.99
mantuu,"OG, ALTERNATE aTTaX, PANTHERS",10981,1999-04-26,POL,1.16
dragonfly,Fragsters,10992,1998-01-03,DNK,1.06
torben,Fragsters,10993,1996-07-25,DNK,0.93
stavn,"Heroic, Fragsters",10994,2003-11-03,DNK,1.12
JazzPimp,"Gaimin Gladiators, Recon 5, ChocoCheck",11039,1998-03-21,USA,1.01
dazzLe,"eUnited, Rise Nation, New Identity",11064,1997-12-17,USA,1.08
Golden,"fnatic, fnatic Academy, Cloud9",11110,1995-09-28,SWE,0.94
aliStair,"ORDER, Chiefs, Renegades",11139,1999-06-23,AUS,1.14
INS,"ORDER, Renegades, Chiefs, Tainted Minds",11140,2000-12-08,AUS,1.19
erkaSt,"Grayhound, TIGER, Immunity",11141,1996-12-07,MNG,1.17
exit,"MIBR, Sharks",11154,1998-01-13,BRA,1.12
Drea3er,"New4, FIVE, BTRG",11161,1996-11-23,CHN,1.01
Hatz,"ORDER, Renegades, Kings",11162,1999-12-16,AUS,1.14
trk,"TeamOne, MIBR",11163,1996-03-15,BRA,1.14
beastik,SINNERS,11199,1999-08-19,CZE,1.01
stadodo,"SAW, OFFSET",11205,1998-03-23,PRT,1.08
delboNi,"Imperial, Case, Yeah",11213,1999-12-15,BRA,1.05
SPELLAN,"SKADE, Outlaws, Windigo, Epsilon",11217,1999-09-21,BGR,1.03
CeRq,"Evil Geniuses, NRG, Outlaws",11219,2001-09-18,BGR,1.14
aproto,"CLG Academy, Vision, BlackOut",11230,2000-08-13,USA,1.05
Subroza,"Ghost, FRENCH CANADIANS, CLG, Lazarus, Orgless",11231,1998-09-05,CAN,1.1
Oderus,"Spacestation, BlackOut, The Pioneers",11238,2000-11-23,USA,1.04
Leaf,"Lucid Dream, Maple, Signature",11248,1995-09-13,THA,1.02
Flarich,"HellRaisers, pro100",11250,1998-09-17,LVA,1.07
fr0slev,"AGF, Fragsters",11258,1998-10-08,DNK,1.08
WARDELL,"Ghost, Bee's Money Crew, Orgless",11264,1999-12-02,CAN,1.13
smooya,"BIG, Movistar Riders, Epsilon",11271,2001-05-04,GBR,1.2
Markoś,"AVEZ, Wisla Krakow",11276,2000-02-16,POL,1.06
TOAO,"AGO, Izako Boars",11278,1998-01-18,POL,0.99
ottoNd,"HAVU, Valiance, CR4ZY, c0ntact",11283,1999-12-24,FIN,1.15
ponczek,Wisla Krakow,11286,1996-05-16,POL,1.0
darko,PACT,11287,1999-10-15,POL,1.02
pounh,"Playing Ducks, Imperial, 1337HUANIA",11307,1998-07-25,LTU,1.04
leo_drk,"Sharks, 00NATION",11329,2001-07-06,BRA,1.07
RCF,"Sharks, Yeah, High Coast",11337,2001-08-19,BRA,1.09
SHiPZ,"SKADE, Windigo",11343,2002-05-15,BGR,1.11
QKA,"5POWER, UYA, BOOT",11355,1995-11-08,CHN,1.1
0i,"Invictus, New4, FIVE, After",11358,1997-02-25,CHN,1.0
Tommy,BOOT-d[S],11460,1995-04-14,SGP,1.04
malta,"Grayhound, Chiefs, Renegades",11485,1997-06-16,AUS,1.1
Noisia,"AVANT, Breakaway, Dark Sided",11492,1997-04-11,AUS,0.99
NickelBack,"Entropiq, pro100, Winstrike",11498,1998-05-24,RUS,1.05
kenzor,pro100,11515,1998-07-19,UKR,1.05
Jinxx,"Genuine, Taboo, Chiefs",11538,1998-02-06,AUS,1.04
xiaosaGe,"5POWER, Invictus, UYA",11574,1991-11-02,CHN,1.08
shuadapai,"5POWER, Eclipse",11576,1992-05-14,CHN,1.08
dapr,eUnited,11586,2000-01-07,USA,1.13
malbsMd,"TeamOne, Infinity",11617,2004-03-01,GTM,1.1
JT,"Extra Salt, Bravado, ATK, Cloud9",11630,2000-01-11,ZAF,1.02
almazer,forZe,11654,2000-09-20,RUS,1.06
mirbit,"ALTERNATE aTTaX, EURONICS, Sprout, Nordavind",11701,1998-06-10,DEU,1.06
SANJI,"Virtus.pro, AVANGAR, Syman",11716,1999-02-11,UZB,0.97
RIKO,"Monstars, Denial",11737,1997-08-23,USA,1.06
shz,"Luminosity, Imperial, MIBR, INTZ, BOOM",11739,1999-05-07,BRA,1.1
YJ,W7M,11746,1997-01-22,BRA,1.0
jnt,Sharks,11747,1995-06-26,BRA,1.03
raafa,"W7M, Keyd",11748,1995-10-11,BRA,1.07
Maden,"ENCE, GODSENT, FunPlus Phoenix, SMASH",11777,2000-01-13,MNE,1.08
anarkez,"Finest, Secret",11815,2001-12-07,ISR,1.11
ropz,MOUZ,11816,2001-11-18,EST,1.15
Boombl4,"Natus Vincere, Winstrike, Quantum Bellator Fire",11840,2000-12-17,RUS,1.04
Ramz1kBO$$,"Tengri, Syman",11842,2001-11-28,KAZ,1.09
flickz,"Chiefs, Athletico, Dark Sided",11844,1992-12-09,AUS,1.09
Texta,"Chiefs, Athletico, Dark Sided",11847,2002-01-15,AUS,1.21
phr,"Illuminar, AGO, Virtus.pro",11891,1998-02-23,POL,1.02
ZywOo,"Vitality, aAa",11893,2002-10-13,FRA,1.32
sergej,"GORILLAZ, ENCE, HAVU",11916,2003-04-12,FIN,1.13
ALLE,"Liberty, Redemption POA, Isurus, C4",11922,1998-06-04,BRA,1.07
mds,Nemiga,11926,2000-08-07,BLR,1.04
neaLaN,"K23, Syman",11940,2002-11-17,KAZ,1.0
buster,"AVANGAR, Virtus.pro",11942,2001-12-10,KAZ,1.09
FASHR,"ECSTATIC, Lyngby Vikings, Defusekids",11954,1997-01-10,NLD,1.11
TMB,"MAD Lions, AGF, Copenhagen Flames",11995,2003-01-10,DNK,1.05
Daffu,"ECSTATIC, Lyngby Vikings, Copenhagen Flames",11996,1999-01-18,DNK,1.04
clax,"K23, Trident, Cyber Legacy, Singularity, EXTREMUM",12004,2003-08-05,RUS,1.04
svyat,"Hard Legion, DreamEaters, AVE",12016,1996-07-07,RUS,0.98
TeSeS,"Heroic, Copenhagen Flames",12018,2002-12-24,DNK,1.11
Krad,"Entropiq, DreamEaters, Hard Legion",12027,2000-11-27,RUS,1.07
EspiranTo,"Imperial, Valiance, CR4ZY, c0ntact",12030,2002-12-12,LTU,1.11
YDNA,"Breakaway, Funky Monkeys, Dark Sided",12083,2000-12-08,AUS,1.03
HUGHMUNGUS,"Chiefs, Legacy, Genuine, Funky Monkeys",12086,2001-02-07,AUS,1.06
ryann,"Singularity, Swole Patrol, Envy, Gorilla Gang",12088,2002-02-18,USA,1.04
vanity,"Chaos, eUnited, Gorilla Gang",12089,2000-09-13,USA,1.06
max,"9z, Isurus, Furious",12092,2000-06-27,URY,1.11
1962,"Leviatan, Isurus",12094,1997-04-05,ARG,1.07
neptune,"Ghost, Bee's Money Crew, Recon 5",12101,2004-11-17,USA,1.04
djay,"Party Astronauts, New England Whalers",12102,1994-02-04,CAN,1.04
Jonji,"Bad News Bears, Rise Nation, Chaos",12113,2001-09-23,CAN,1.09
poizon,"Complexity, Windigo, Bpro",12126,2000-02-24,BGR,1.14
stk,"Beyond, Signature, Alpha Red",12129,1998-08-10,THA,1.05
KrizzeN,"AVANGAR, Winstrike",12161,2001-07-05,KAZ,1.01
Sergiz,"CR4ZY, Project X, Akuma, Windigo Academy",12244,2002-10-07,UKR,1.03
Jyo,Nemiga,12269,1996-03-22,EST,1.07
moose,"eUnited, Rise Nation",12271,1999-12-20,CAN,1.14
fleav,"Budapest Five, GameAgents",12317,2002-04-01,HUN,1.08
Impulse,"Valiance, ONYX, lvlUP, RESISTANCE",12379,1997-01-09,SRB,1.11
expro,"Lynn Vision, Invictus, EHOME",12490,2000-10-09,CHN,1.03
arT,FURIA,12521,1997-10-19,BRA,1.09
yuurih,FURIA,12553,2001-09-22,BRA,1.18
Geniuss,"Signature, Beyond, Lucid Dream",12564,1999-08-25,THA,1.11
djL,"Chaos, Japaleno, Red Reserve",12572,1995-02-03,SWE,0.91
BRACE,VERTEX,12588,2001-04-26,AUS,0.99
soju_j,"Legacy, AVANT, Chiefs, Dire Wolves",12590,1999-02-19,NZL,1.01
sterling,"AVANT, Looking For Org, Dire Wolves",12591,1999-02-22,NZL,1.2
J1rah,"ORDER, Breakaway",12593,2001-10-04,AUS,1.04
STOMP,"x-kom, Izako Boars, Illuminar, HONORIS",12699,1996-08-05,POL,1.09
rigoN,"Bad News Eagles, BLINK, c0ntact",12708,2001-02-19,CHE,1.1
gMd,"Rogue, FRENCH CANADIANS, LiViD, Spacestation",12710,2002-02-12,CAN,1.05
floppy,"Cloud9, Singularity",12713,2001-10-18,USA,1.15
BL1TZ,"Chiefs, Legacy, AVANT, Funky Monkeys",12715,1994-01-15,AUS,1.1
sdy,Spirit,12731,1998-04-26,UKR,1.1
FL1T,forZe,12732,2002-05-19,RUS,1.13
xsepower,"K23, forZe",12733,1999-10-12,RUS,1.15
k1to,"BIG, ALTERNATE aTTaX, Sprout",12781,2000-07-19,DEU,1.04
kressy,"ALTERNATE aTTaX, Sprout, EURONICS",12782,1997-11-02,DEU,1.07
SHOCK,SINNERS,12810,2002-11-20,CZE,1.04
VINI,FURIA,12822,2000-08-02,BRA,1.04
hallzerk,"Dignitas, Nordavind",12840,2001-11-10,NOR,1.1
apocdud,"VERTEX, Chiefs, Genuine",12872,2000-02-01,AUS,1.05
DickStacy,"Grayhound, Dark Sided",12876,1998-12-08,AUS,1.08
chelleos,"Rooster, madlikewizards, Paradox",12877,2001-05-08,NZL,1.2
WolfY,"ECSTATIC, Lyngby Vikings, Secret Club",12937,2000-10-26,USA,1.08
Thomas,Endpoint,13018,1999-08-16,GBR,1.12
LOGAN,"LDLC, Heretics",13042,1999-04-19,FRA,1.01
zeph,"ORDER, Chiefs, Ground Zero",13054,2003-11-27,AUS,1.11
DeathZz,Movistar Riders,13093,1997-08-19,ESP,1.03
Maka,"Heretics, LDLC, 3DMAX",13138,1998-10-01,FRA,1.1
Radifaction,"Secret, Nordavind, NoChance, Apeks",13148,2000-04-11,NOR,1.03
speed4k,"DreamEaters, Nemiga",13155,1997-11-20,RUS,1.05
RuFire,"SG.pro, 5balls, VP.Prodigy",13156,1996-11-06,RUS,0.84
Jerry,forZe,13157,1999-11-08,RUS,1.07
kwezz,Tricked,13170,2001-01-19,DNK,1.01
stellar,"Party Astronauts, Vireo.pro, Divine, AA",13177,1997-08-06,USA,1.05
RZU,"Triumph, Bad News Bears, Rugratz",13179,2001-06-03,USA,1.01
xCeeD,"The Quest, Triumph, SoaR",13182,2001-10-18,USA,1.07
cam,"Singularity, Gorilla Gang, Chaos",13186,1999-01-18,USA,1.06
Zellsis,"Swole Patrol, Lazarus",13188,1999-05-24,USA,1.11
Voltage,"The Quest, Triumph, SoaR, Dignitas",13228,2001-12-20,USA,1.05
Snakes,"Spacestation, The Quest, SoaR",13229,2003-11-25,USA,1.09
motm,"ATK, Cloud9",13230,2001-07-08,USA,1.09
PTC,"Lucid Dream, 5POWER",13238,2000-07-01,THA,1.14
Qikert,"AVANGAR, Virtus.pro",13239,2000-07-08,KAZ,1.11
Lack1,"Entropiq, Winstrike",13240,2001-04-20,KAZ,1.04
oSee,"Extra Salt, Singularity, Cloud9",13249,2000-01-22,USA,1.15
ben1337,"Party Astronauts, New England Whalers, High Coast",13250,1999-02-20,USA,0.97
TenZ,"Bad News Bears, ATK",13254,2002-12-08,CAN,1.15
Ace,"Rise Nation, eUnited",13273,1996-11-21,USA,1.06
El1an,"Entropiq, Winstrike, EPG",13281,2000-10-03,RUS,1.17
Farlig,"Astralis, Copenhagen Flames, FunPlus Phoenix, GODSENT",13300,2000-11-12,DNK,1.1
hoody,HAVU,13396,2000-01-22,FIN,1.07
mar,"FATE, Finest",13464,1998-05-19,BGR,1.08
dennyslaw,SKADE,13466,2001-07-03,BGR,1.12
Lucky,"HEET, Heretics, DBL PONEY, G2, 3DMAX",13497,1999-07-05,FRA,1.09
Grim,"Liquid, Triumph, Dignitas, Spacestation",13578,2002-03-16,USA,1.1
Spongey,"Bad News Bears, Triumph, The Quest",13589,2001-05-04,USA,1.06
nicoodoz,Copenhagen Flames,13602,2002-07-11,DNK,1.1
Brollan,"fnatic, GODSENT",13666,2003-02-15,SWE,1.12
nawwk,"Apeks, GamerLegion, NIP, x6tence Galaxy",13670,1999-06-01,SWE,1.12
nukkye,"Imperial, HellRaisers, NoChance",13679,1999-05-27,LTU,1.12
birdfromsky,"Lyngby Vikings, ECSTATIC",13718,1995-09-19,DNK,0.99
Queenix,"MASONIC, x6tence",13749,2000-05-19,DNK,1.03
Jame,"AVANGAR, Virtus.pro",13776,2000-10-16,RUS,1.17
PASHANOJ,"Unique, ex-ETHEREAL",13779,1995-01-01,RUS,0.9
dimasick,"AVANGAR, pro100",13780,1997-07-15,KAZ,1.06
Lucky,"Tricked, Astralis",13843,2004-04-04,DNK,1.07
YEKINDAR,"pro100, Virtus.pro, EPG",13915,2001-05-05,LVA,1.14
boX,"Nemiga, GoodJob",13976,1996-07-23,BLR,1.04
lollipop21k,"Nemiga, GoodJob",13980,1997-02-15,BLR,1.14
Forester,"Entropiq, DreamEaters, Hard Legion",13982,2001-06-02,RUS,1.08
ryotzz,W7M,13989,1995-06-09,BRA,1.08
Zix,Bpro,13992,2000-05-28,BGR,1.04
propleh,"1WIN, Monolith, Spartak",14055,1998-04-03,RUS,1.03
Jamppi,"SJ, ENCE",14087,2002-04-11,FIN,1.15
sjuush,"Heroic, Tricked, MAD Lions",14148,2000-06-11,DNK,1.09
RAiLWAY,"INDE IRAE, Espada",14161,1997-08-27,RUS,1.0
rAge,"Hard Legion, Windigo Academy",14171,1998-10-04,UKR,1.07
misutaaa,Vitality,14176,2004-05-25,FRA,1.0
coolio,"Budapest Five, Salamander",14202,2001-04-01,HUN,0.94
Shakezullah,"Bad News Bears, Triumph, Singularity, iNTACT",14203,1999-07-13,USA,1.0
R0b3n,"Unique, Space Jam, ex-ETHEREAL",14205,2003-02-18,LVA,1.04
Plopski,"NIP, x6tence Galaxy, Singularity",14218,2003-11-16,SWE,1.08
kaper,"AGO, Kinguin, Wisla Krakow, adwokacik",14221,1997-10-23,POL,1.02
iDISBALANCE,"Nemiga, Spirit",14273,1998-01-15,RUS,1.13
SkulL,"Genuine, Taboo, Masterminds, Chiefs",14290,1999-01-20,AUS,1.01
hazr,"AVANT, Looking For Org, Breakaway, Dire Wolves",14294,2003-12-19,AUS,1.14
H4RR3,"777, Nordavind",14311,1998-08-07,NOR,1.03
w1nt3r,"100PG, Unique, Se7en, BOOT-d[S]",14359,1999-05-25,KAZ,1.0
The eLiVe,"Enterprise, Universe",14388,2000-05-13,SVK,1.01
WOOD7,"Bravos, MIBR, RED Canids",14390,1996-08-25,BRA,1.04
Tuurtle,"MIBR, DETONA, Bravos, C4",14394,2000-04-09,BRA,1.08
roeJ,"Copenhagen Flames, MAD Lions, Tricked",14419,1995-09-02,DNK,1.15
kai,"Bravos, C4, RED Canids",14445,1996-07-15,BRA,1.07
junior,"Triumph, Bad News Bears, Complexity, FURIA",14494,2002-11-03,USA,1.1
ekul,"Paradox, SYF",14505,1996-12-15,AUS,1.14
Marcelious,"Apeks, 777, NOREG",14602,2000-09-12,NOR,1.08
Infinite,Party Astronauts,14619,1999-09-27,USA,1.16
jedqr,"Wisla Krakow, x-kom",14684,2000-12-10,POL,1.08
dgt,9z,14736,2002-10-19,URY,1.15
meyern,"Furious, MIBR, Isurus, Sharks",14737,2004-05-25,ARG,1.11
iM,"GamerLegion, Nexus",14759,2000-02-23,ROU,1.11
JDC,"MOUZ, MOUZ NXT, expert, Unicorns of Love, PANTHERS",14929,2001-12-21,DEU,1.06
faveN,"Sprout, EURONICS",14932,2001-08-25,DEU,1.13
void,"Ground Zero, Dark Sided",14954,2002-05-27,AUS,1.03
Mayker,"Genuine, Chiefs, Surge",14957,2000-12-23,AUS,1.01
Cooper,"Swole Patrol, eUnited, Triumph",15007,1995-05-18,USA,1.12
interz,"Gambit Youngsters, Gambit",15071,2002-10-25,RUS,0.99
nin9,"TIGER, Renewal, Mazaalai, IHC",15072,1999-03-25,MNG,1.09
PwnAlone,"Party Astronauts, New England Whalers, High Coast",15090,1992-07-16,USA,1.14
grux,"Savage, Red Reserve, SMASH",15096,2001-06-01,SWE,1.04
Keoz,"Syman, LDLC, K23",15117,2002-08-25,BEL,1.03
JiNKZ,"3DMAX, Heretics",15120,1996-04-21,FRA,0.97
blameF,"Astralis, Complexity, Heroic, Epsilon",15165,1998-05-07,DNK,1.22
Twixie,"KOVA, HAVU",15180,2003-02-27,FIN,1.0
Vegi,"Anonymo, Virtus.pro, PACT, Illuminar",15204,2001-04-17,POL,1.04
Swahn,"iNTACT, Bad News Bears, Detonate, Bushido Boyz",15255,1999-05-22,USA,1.08
maNkz,"ECSTATIC, Lyngby Vikings, Copenhagen Flames",15349,1999-05-09,DNK,1.02
REDSTAR,"Fiend, Bpro",15369,2003-04-03,BGR,1.1
slaxz-,"Sprout, ALTERNATE aTTaX",15370,2000-02-03,DEU,1.11
Viva,"Invictus, 5POWER, CyberZen",15419,2001-06-06,CHN,1.06
Goofy,"Wisla Krakow, PACT, x-kom",15428,2002-11-10,POL,1.08
b0denmaster,"ATK, Lilmix",15501,1999-05-04,SWE,1.08
SADDYX,SJ,15563,2002-04-19,FIN,1.03
Spargo,"KOVA, hREDS",15565,2002-05-16,FIN,1.05
Sapec,Young Ninjas,15569,2004-07-20,SWE,1.05
KSCERATO,FURIA,15631,2001-09-16,BRA,1.18
dezon,"Savage, Galaxy Racer, Japaleno",15639,1999-06-15,SWE,1.01
zorte,"forZe, Unique",15662,1999-09-27,RUS,1.15
SLOWLY,"TYLOO, EHOME",15683,2003-04-04,CHN,1.11
Sidney,"UNGENTIUM, AGO, PACT, Illuminar",15697,1999-08-02,POL,0.99
dumau,"GODSENT, Yeah",15698,2005-12-27,BRA,1.16
nawrot,"AVEZ, Izako Boars",15726,2000-06-11,POL,0.92
SENER1,"Bad News Eagles, BLINK",15778,1998-05-18,XKX,0.98
NEOFRAG,SINNERS,15821,2002-03-27,CZE,1.18
imoRR,"Eternal Fire, Sangal, Royal Bandits",15835,2001-07-24,TUR,1.1
Sobol,"PACT, Wisla Krakow",15940,1999-06-25,POL,1.09
dycha,"ENCE, Sprout, Aristocracy",16080,1999-04-25,POL,1.12
DANK1NG,"TYLOO, EHOME",16207,2001-02-15,CHN,1.2
pancc,"W7M, Sharks",16314,1999-08-05,BRA,1.11
Valiance,"ORDER, Paradox",16323,2002-09-25,AUS,1.1
Duplicate,"SKADE, FATE",16410,2002-07-14,BGR,1.0
rafftu,"SKADE, Bpro, FATE",16412,2001-01-21,BGR,1.0
supra,"Gambit Youngsters, Nordavind",16415,2003-11-22,EST,1.05
Grus,"Apeks, 777",16462,1999-10-09,NOR,1.0
ztr,"Young Ninjas, NIP",16486,2005-09-25,SWE,0.98
eraa,GamerLegion,16487,2003-02-12,SWE,1.06
